#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Batt Voltage [V];Logger Status
$;00:00:01;00:00:01;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.375;9.7;65667
$;00:00:03;00:00:03;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.375;9.6;65665
$;00:00:05;00:00:05;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.250;9.6;65665
$;00:00:07;00:00:07;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.375;9.6;65665
$;00:00:09;00:00:09;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.375;9.6;65665
$;00:00:11;00:00:11;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.375;9.6;65665
$;00:00:13;00:00:13;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.375;9.6;65667
$;00:00:15;00:00:15;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.500;9.6;65667
$;00:00:17;00:00:17;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.500;9.5;65667
$;00:00:19;00:00:19;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.500;9.5;65667
$;00:00:21;00:00:21;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.625;9.5;65667
$;00:00:23;00:00:23;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.625;9.5;65667
$;00:00:25;00:00:25;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.750;9.5;65667
$;00:00:27;00:00:27;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;24.750;9.5;65667
$;00:00:29;11:21:53;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;24.750;9.5;65727
$;00:00:31;11:21:55;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;24.875;9.5;65727
$;00:00:33;11:21:57;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.0;9.5;65585
$;00:00:35;11:21:59;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.0;9.5;65727
$;00:00:37;11:22:01;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;24.875;9.5;65727
$;00:00:39;11:22:03;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.125;9.5;65727
$;00:00:41;11:22:05;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.125;9.5;65727
$;00:00:43;11:22:07;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.125;9.5;65727
$;00:00:45;11:22:09;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.250;9.5;65585
$;00:00:47;11:22:11;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.250;9.4;65585
$;00:00:49;11:22:13;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.250;9.4;65727
$;00:00:51;11:22:15;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.375;9.4;65585
$;00:00:53;11:22:17;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.375;9.4;65727
$;00:00:55;11:22:19;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.500;9.4;65727
$;00:00:57;11:22:21;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.500;9.4;65585
$;00:00:59;11:22:23;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.500;9.4;65585
$;00:01:01;11:22:25;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.375;9.4;65585
$;00:01:03;11:22:27;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.500;9.4;65585
$;00:01:05;11:22:29;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.500;9.4;65585
$;00:01:07;11:22:31;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.750;9.4;65585
$;00:01:09;11:22:33;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.625;9.4;65585
$;00:01:11;11:22:35;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.625;9.4;65585
$;00:01:13;11:22:37;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.875;9.4;65585
$;00:01:15;11:22:39;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.750;9.4;65585
$;00:01:17;11:22:41;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.0;9.4;65585
$;00:01:19;11:22:43;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.0;9.4;65585
$;00:01:21;11:22:45;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.875;9.4;65585
$;00:01:23;11:22:47;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;25.875;9.4;65585
$;00:01:25;11:22:49;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.0;9.4;65585
$;00:01:27;11:22:51;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.125;9.4;65585
$;00:01:29;11:22:53;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.375;9.4;65585
$;00:01:31;11:22:55;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.375;9.4;65585
$;00:01:33;11:22:57;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.125;9.3;65585
$;00:01:35;11:22:59;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.375;9.4;65585
$;00:01:37;11:23:01;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.625;9.3;65585
$;00:01:39;11:23:03;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.625;9.3;65585
$;00:01:41;11:23:05;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.750;9.3;65727
$;00:01:43;11:23:07;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.750;9.3;65727
$;00:01:45;11:23:09;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.750;9.3;65585
$;00:01:47;11:23:11;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.750;9.3;65585
$;00:01:49;11:23:13;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.750;9.3;65727
$;00:01:51;11:23:15;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.750;9.3;65585
$;00:01:53;11:23:17;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.875;9.3;65727
$;00:01:55;11:23:19;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.0;9.3;65585
$;00:01:57;11:23:21;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.0;9.3;65585
$;00:01:59;11:23:23;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;26.750;9.3;65585
$;00:02:01;11:23:25;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.0;9.3;65585
$;00:02:03;11:23:27;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.250;9.3;65585
$;00:02:05;11:23:29;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.125;9.3;65585
$;00:02:07;11:23:31;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.0;9.3;65585
$;00:02:09;11:23:33;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.125;9.3;65585
$;00:02:11;11:23:35;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.250;9.3;65585
$;00:02:13;11:23:37;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.250;9.3;65585
$;00:02:15;11:23:39;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.500;9.2;65585
$;00:02:17;11:23:41;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.500;9.2;65585
$;00:02:19;11:23:43;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.375;9.2;65585
$;00:02:21;11:23:45;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.500;9.2;65585
$;00:02:23;11:23:47;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.375;9.2;65585
$;00:02:25;11:23:49;11.09.2021;N;NA;NA;NA;NA;NA;NA;NA;27.500;9.2;65585
